file,number of assertions
mixins.py, 0
index_tricks.py, 0
histograms.py, 0
function_base.py, 4
format.py, 1
arrayterator.py, 0
arraysetops.py, 0
arraypad.py, 0
_version.py, 0
_iotools.py, 0
_datasource.py, 0
__init__.py, 0
setup.py, 0
linalg.py, 33
__init__.py, 0
timer_comparison.py, 75
testutils.py, 42
setup.py, 0
mrecords.py, 0
extras.py, 0
core.py, 0
bench.py, 0
__init__.py, 0
setup.py, 0
defmatrix.py, 0
__init__.py, 0
setup.py, 0
polyutils.py, 0
polynomial.py, 0
legendre.py, 0
laguerre.py, 0
hermite_e.py, 0
hermite.py, 0
chebyshev.py, 0
_polybase.py, 0
__init__.py, 0
extending.py, 1
parse.py, 0
setup.py, 0
extending_distributions.py, 0
extending.py, 2
setup.py, 0
_pickle.py, 0
__init__.py, 0
utils.py, 9
setup.py, 0
print_coercion_tables.py, 0
__init__.py, 0
utils.py, 142
parameterized.py, 5
nosetester.py, 0
noseclasses.py, 0
decorators.py, 2
__init__.py, 0
setup.py, 0
mypy_plugin.py, 0
_shape.py, 0
_scalars.py, 0
_nbit.py, 0
_generic_alias.py, 0
_extended_precision.py, 0
_dtype_like.py, 0
_char_codes.py, 0
_callable.py, 0
_array_like.py, 0
_add_docstring.py, 0
__init__.py, 0
versioneer.py, 6
travis-sorter.py, 0
testVector.py, 32
testTensor.py, 29
testSuperTensor.py, 28
testMatrix.py, 28
testFortran.py, 2
testFlat.py, 4
testFarray.py, 10
testArray.py, 66
setup.py, 0
refguide_check.py, 3
openblas_support.py, 5
compat3.py, 0
_looper.py, 0
__init__.py, 8
linter.py, 0
functions_missing_types.py, 0
find_deprecated_escaped_characters.py, 0
download-wheels.py, 0
cythonize.py, 7
commitstats.py, 0
test_all_newsfragments_used.py, 0
push_docs_to_repo.py, 0
changelog.py, 0
c_coverage_report.py, 0
track_allocations.py, 0
setup.py, 0
setup.py, 0
runtests.py, 2
pavement.py, 0
version.py, 0
setup.py, 0
mypy_plugin.py, 0
_shape.py, 0
_scalars.py, 0
_nbit.py, 0
_generic_alias.py, 0
_extended_precision.py, 0
_dtype_like.py, 0
_char_codes.py, 0
_callable.py, 0
_array_like.py, 0
_add_docstring.py, 0
__init__.py, 0
utils.py, 9
setup.py, 0
